Liquidus temperature,Solidus temperature,Mole fraction Ti,Mole fraction Zr,Mole fraction Hf,Mole fraction V,Mole fraction Nb,Mole fraction Ta,Mole fraction Cr,Mole fraction Mo,Mole fraction W,Mole fraction Re
1956.9974,1618.69988,0.10484,0.25646,0.05962,0.17589,0.09359,0.07241,0.18324,0.02638,0.02657,0.001
1758.10209,1627.56209,0.1553,0.22384,0.10751,0.13223,0.1075,0.02992,0.22266,0.01904,0.001,0.001
1827.5243,1628.73881,0.13768,0.2313,0.09957,0.14308,0.09583,0.05095,0.21002,0.02098,0.00959,0.001
2126.77303,1645.89131,0.1077,0.21972,0.06903,0.151,0.08784,0.1006,0.16652,0.03475,0.04193,0.0209
1994.01077,1619.13736,0.10291,0.25507,0.0561,0.17474,0.09326,0.07903,0.17794,0.02955,0.03039,0.001
2012.39584,1635.95359,0.11824,0.21846,0.08611,0.15271,0.08894,0.08737,0.18741,0.024,0.03316,0.00361
1914.77194,1614.81454,0.10176,0.26195,0.05998,0.1852,0.09403,0.06271,0.18659,0.02279,0.02398,0.001
1894.72914,1613.02337,0.1003,0.26206,0.06175,0.19031,0.09388,0.05809,0.18897,0.01997,0.02367,0.001
2053.7828,1611.87504,0.07407,0.26418,0.04174,0.20797,0.08939,0.08057,0.15635,0.03292,0.04204,0.01077
1674.04153,1619.68022,0.20066,0.19507,0.12586,0.14356,0.09898,0.01923,0.21335,0.001,0.00128,0.001
2214.46413,1622.60994,0.06204,0.25906,0.01919,0.20614,0.08495,0.10368,0.12503,0.0451,0.05785,0.03698
2035.52048,1630.73075,0.11112,0.23247,0.06763,0.15956,0.09039,0.08842,0.18128,0.02647,0.03463,0.00804
2071.0656,1631.52339,0.10584,0.23609,0.05996,0.16155,0.09021,0.09231,0.17322,0.03064,0.03734,0.01285
1854.82254,1615.66566,0.11193,0.2603,0.06836,0.17933,0.09468,0.04925,0.19528,0.02364,0.01623,0.001
1803.33642,1633.03088,0.14534,0.22081,0.11392,0.13369,0.10123,0.04273,0.21426,0.02345,0.00357,0.001
2117.3984,1632.71199,0.09874,0.24078,0.04965,0.16409,0.08994,0.09767,0.16229,0.03628,0.04106,0.01949
