Liquidus temperature,Solidus temperature,Mole fraction Ti,Mole fraction V,Mole fraction Cr,Mole fraction Zr,Mole fraction Nb,Mole fraction Mo,Mole fraction Hf,Mole fraction Ta,Mole fraction W,Mole fraction Re
2835.09342,2313.87665,0.085,0.099,0.078,0.001,0.101,0.125,0.08,0.139,0.147,0.145
3013.69609,2821.75985,0.051,0.093,0.007,0.001,0.17,0.248,0.001,0.168,0.16,0.101
2842.67709,2595.73649,0.117,0.09,0.001,0.001,0.192,0.229,0.05,0.153,0.111,0.056
3096.00575,3016.13551,0.001,0.001,0.001,0.001,0.208,0.359,0.001,0.237,0.142,0.049
2846.37993,2495.83512,0.001,0.127,0.031,0.087,0.044,0.047,0.049,0.139,0.068,0.407
2965.68988,2887.09184,0.03,0.029,0.001,0.001,0.274,0.349,0.001,0.196,0.084,0.035
2746.40055,2740.91066,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
2526.72594,2433.46127,0.001,0.001,0.001,0.001,0.728,0.001,0.264,0.001,0.001,0.001
3054.89814,2832.53662,0.05,0.1,0.01,0.001,0.14,0.224,0.001,0.173,0.186,0.115
2932.55368,2821.05099,0.072,0.057,0.0000001,0.001,0.249,0.293,0.005,0.168,0.093,0.062
2865.5298,2418.11199,0.113,0.115,0.039,0.001,0.115,0.123,0.065,0.159,0.155,0.115
2900.74841,2464.34431,0.107,0.108,0.039,0.001,0.111,0.125,0.056,0.154,0.161,0.138
2785.95116,2582.67863,0.118,0.102,0.001,0.001,0.205,0.303,0.043,0.115,0.07,0.042
2720.07175,2607.2643,0.077,0.124,0.001,0.001,0.22,0.492,0.018,0.026,0.001,0.04
2890.21978,2540.38899,0.124,0.112,0.014,0.001,0.138,0.15,0.047,0.166,0.154,0.094
2833.706,2609.82165,0.113,0.089,0.001,0.001,0.2,0.257,0.045,0.141,0.097,0.056
2938.11503,2532.06892,0.109,0.113,0.03,0.001,0.107,0.126,0.043,0.158,0.171,0.142
2830.12572,2693.35613,0.074,0.076,0.001,0.001,0.246,0.366,0.022,0.112,0.039,0.063
3046.39963,2707.87573,0.082,0.139,0.009,0.001,0.088,0.137,0.019,0.166,0.209,0.15
2746.40055,2740.91066,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
2794.32357,2733.64513,0.013,0.027,0.001,0.001,0.495,0.459,0.001,0.001,0.001,0.001
3050.51674,2722.68018,0.081,0.139,0.007,0.001,0.09,0.14,0.017,0.167,0.209,0.149
2892.22165,2353.675,0.045,0.095,0.09,0.01,0.077,0.106,0.066,0.128,0.146,0.237
2919.00927,2458.47084,0.093,0.104,0.054,0.001,0.098,0.123,0.053,0.147,0.166,0.161
2873.32579,2454.00296,0.12,0.119,0.028,0.001,0.12,0.125,0.06,0.164,0.157,0.106
2960.23205,2905.0555,0.02,0.009,0.001,0.001,0.295,0.384,0.001,0.204,0.068,0.017
2884.37521,2691.88532,0.095,0.068,0.001,0.001,0.217,0.263,0.033,0.153,0.098,0.071
2951.36347,2719.88791,0.073,0.085,0.01,0.001,0.181,0.238,0.018,0.161,0.142,0.091
2911.60946,2531.17185,0.12,0.112,0.02,0.001,0.122,0.136,0.047,0.163,0.162,0.117
2916.75017,2439.24984,0.085,0.101,0.064,0.001,0.093,0.122,0.055,0.142,0.166,0.171
3141.67308,2834.5739,0.077,0.146,0.001,0.001,0.074,0.107,0.001,0.201,0.217,0.175
3373.52275,3242.25828,0.001,0.001,0.001,0.001,0.094,0.182,0.001,0.371,0.266,0.082
3019.94823,2909.45151,0.021,0.044,0.001,0.001,0.228,0.322,0.001,0.19,0.121,0.071
3175.63988,2857.02673,0.006,0.166,0.001,0.001,0.045,0.042,0.005,0.207,0.141,0.386
2843.67976,2434.89828,0.001,0.102,0.066,0.065,0.07,0.073,0.062,0.139,0.095,0.327
2786.34837,2602.15325,0.112,0.1,0.001,0.001,0.213,0.325,0.037,0.107,0.059,0.045
2878.13853,2357.80664,0.069,0.087,0.089,0.001,0.088,0.124,0.07,0.129,0.154,0.189
2828.68535,2278.30822,0.067,0.094,0.101,0.001,0.083,0.116,0.086,0.125,0.146,0.181
2952.08716,2457.74635,0.044,0.105,0.073,0.001,0.075,0.107,0.061,0.141,0.156,0.237
3053.36826,2778.01602,0.062,0.121,0.014,0.001,0.112,0.184,0.006,0.166,0.199,0.135
2974.66966,2633.45235,0.101,0.119,0.017,0.001,0.112,0.152,0.027,0.161,0.182,0.128
3216.29249,2888.32495,0.034,0.159,0.001,0.001,0.048,0.055,0.001,0.219,0.18,0.302
2917.70679,2603.85073,0.112,0.098,0.014,0.001,0.149,0.173,0.036,0.162,0.151,0.104
2838.65344,2418.33442,0.122,0.117,0.029,0.001,0.129,0.134,0.069,0.164,0.149,0.086
3189.49117,2841.01926,0.001,0.161,0.001,0.003,0.03,0.038,0.001,0.205,0.114,0.446
2746.40055,2740.91066,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
2836.77039,2592.70722,0.118,0.091,0.001,0.001,0.192,0.235,0.05,0.15,0.108,0.054
2890.92193,2879.7201,0.001,0.003,0.001,0.001,0.001,0.989,0.001,0.001,0.001,0.001
3005.10555,2742.71801,0.07,0.111,0.011,0.001,0.136,0.202,0.012,0.161,0.18,0.116
2860.48985,2442.61341,0.001,0.099,0.083,0.045,0.06,0.082,0.07,0.13,0.109,0.321
2943.62795,2514.11676,0.102,0.113,0.038,0.001,0.098,0.121,0.045,0.155,0.174,0.153
2733.03815,2590.31422,0.102,0.113,0.001,0.001,0.228,0.421,0.028,0.061,0.009,0.036
3272.6398,3154.50507,0.001,0.001,0.001,0.001,0.116,0.269,0.001,0.31,0.229,0.071
2662.48529,2464.8532,0.132,0.134,0.001,0.001,0.216,0.397,0.057,0.05,0.008,0.004
2772.28899,2750.04459,0.001,0.001,0.001,0.001,0.84,0.152,0.001,0.001,0.001,0.001
3021.18845,2570.02059,0.024,0.132,0.042,0.001,0.063,0.078,0.053,0.159,0.148,0.3
2685.57785,2636.61036,0.001,0.001,0.001,0.001,0.923,0.001,0.069,0.001,0.001,0.001
2878.58373,2371.56147,0.079,0.092,0.078,0.001,0.094,0.125,0.068,0.134,0.156,0.173
2699.44992,2583.00603,0.061,0.137,0.001,0.001,0.208,0.551,0.022,0.001,0.001,0.017
2580.54552,2458.39403,0.133,0.001,0.001,0.001,0.775,0.011,0.075,0.001,0.001,0.001
2792.95406,2610.21148,0.11,0.098,0.001,0.001,0.213,0.324,0.036,0.109,0.061,0.047
2817.29941,2274.25608,0.063,0.093,0.094,0.035,0.072,0.097,0.068,0.119,0.144,0.215
2971.96107,2491.7557,0.053,0.114,0.06,0.001,0.076,0.103,0.055,0.147,0.166,0.225
2956.9833,2862.74945,0.04,0.045,0.001,0.001,0.261,0.331,0.001,0.183,0.09,0.047
2922.12886,2820.29706,0.067,0.059,0.001,0.001,0.257,0.313,0.001,0.164,0.082,0.055
2890.71493,2370.77304,0.066,0.091,0.091,0.001,0.083,0.12,0.066,0.129,0.159,0.194
2788.66262,2352.28967,0.129,0.118,0.032,0.001,0.131,0.136,0.085,0.163,0.144,0.061
2961.2176,2491.37558,0.083,0.117,0.055,0.001,0.078,0.109,0.047,0.147,0.183,0.18
2930.87676,2827.19908,0.068,0.057,0.001,0.001,0.255,0.304,0.001,0.169,0.088,0.056
2674.12664,2530.03626,0.085,0.108,0.001,0.001,0.31,0.45,0.042,0.001,0.001,0.001
2912.65885,2415.39777,0.076,0.098,0.076,0.001,0.086,0.121,0.058,0.137,0.165,0.182
2763.5525,2522.24448,0.131,0.111,0.001,0.001,0.191,0.272,0.058,0.121,0.084,0.03
2349.0079,2332.89545,0.001,0.001,0.001,0.001,0.263,0.001,0.729,0.001,0.001,0.001
3421.43431,3190.30389,0.001,0.064,0.001,0.001,0.055,0.096,0.001,0.328,0.222,0.231
2927.04667,2472.39181,0.094,0.106,0.052,0.001,0.097,0.122,0.05,0.148,0.169,0.161
2616.66686,2506.76452,0.154,0.001,0.001,0.001,0.714,0.063,0.063,0.001,0.001,0.001
2861.51835,2478.20325,0.123,0.115,0.022,0.001,0.135,0.145,0.057,0.166,0.15,0.086
2965.67431,2496.32953,0.08,0.117,0.053,0.001,0.079,0.108,0.048,0.148,0.183,0.183
2829.60112,2599.51421,0.116,0.091,0.001,0.001,0.198,0.251,0.047,0.142,0.1,0.053
2843.14007,2377.27917,0.11,0.112,0.046,0.001,0.116,0.126,0.073,0.157,0.15,0.109
2647.88447,2478.56986,0.104,0.109,0.001,0.001,0.326,0.398,0.058,0.001,0.001,0.001
2678.62656,2625.40904,0.001,0.001,0.001,0.001,0.915,0.001,0.077,0.001,0.001,0.001
2959.63208,2480.10415,0.023,0.109,0.072,0.001,0.072,0.096,0.063,0.143,0.14,0.281
2839.78938,2395.88173,0.013,0.1,0.075,0.058,0.07,0.08,0.064,0.133,0.108,0.299
3406.37346,3163.35764,0.001,0.066,0.001,0.001,0.059,0.091,0.001,0.319,0.209,0.252
2925.46969,2430.59111,0.068,0.102,0.075,0.001,0.084,0.114,0.057,0.137,0.167,0.195
2835.20463,2580.28114,0.123,0.094,0.001,0.001,0.188,0.221,0.052,0.154,0.114,0.052
2464.63042,2413.94345,0.001,0.001,0.001,0.044,0.001,0.001,0.936,0.001,0.013,0.001
2586.48358,2459.36421,0.191,0.001,0.001,0.001,0.701,0.043,0.059,0.001,0.001,0.001
2746.40055,2740.91066,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001
2857.15566,2498.56264,0.001,0.116,0.049,0.055,0.054,0.061,0.063,0.138,0.086,0.377
2833.64945,2369.73299,0.112,0.113,0.045,0.001,0.118,0.128,0.075,0.157,0.149,0.102
