Liquidus temperature,Solidus temperature,Mole fraction Nb,Mole fraction Ti,Mole fraction V,Mole fraction Mo,Mole fraction Ta,Mole fraction W,Mole fraction Re
3362.51161,3343.78548,0.0001,0.0001,0.0001,0.01799,0.79603,0.18558,0.0001
3300.18918,3293.41573,0.00591,0.0001,0.0001,0.00551,0.95561,0.0255,0.00727
3300.55386,3298.39889,0.0001,0.0001,0.0001,0.0001,0.97804,0.02082,0.00075
3681.07356,3674.05484,0.0001,0.0001,0.0001,0.01919,0.0001,0.98031,0.0001
3553.96441,3460.66654,0.0001,0.0001,0.0001,0.09303,0.37211,0.50035,0.03421
3555.17651,3462.00836,0.0001,0.0001,0.0001,0.09435,0.36673,0.50372,0.0349
3372.32942,3349.27469,0.0001,0.0001,0.0001,0.02547,0.75444,0.21969,0.0001
3680.10121,3672.64935,0.0001,0.0001,0.0001,0.02058,0.0001,0.97892,0.0001
3548.36109,3454.44752,0.0001,0.0001,0.0001,0.08894,0.3932,0.48561,0.03195
3395.79715,3279.23598,0.08984,0.0001,0.0001,0.15872,0.40536,0.2714,0.07449
3306.31938,3282.05502,0.03593,0.0001,0.0001,0.02103,0.85774,0.07395,0.01115
3559.13766,3490.70466,0.0001,0.0001,0.0001,0.13481,0.20214,0.60674,0.056
3547.94656,3454.01685,0.0001,0.0001,0.0001,0.08866,0.39463,0.4846,0.0318
3555.29203,3462.13957,0.0001,0.0001,0.0001,0.09448,0.3662,0.50405,0.03497
3303.26684,3255.83994,0.04814,0.0001,0.0001,0.09961,0.62404,0.2279,0.0001
3394.30074,3278.11101,0.08948,0.0001,0.0001,0.15926,0.40678,0.2714,0.07288
3555.33149,3462.18452,0.0001,0.0001,0.0001,0.09453,0.36602,0.50417,0.03499
3555.3684,3462.22664,0.0001,0.0001,0.0001,0.09457,0.36585,0.50427,0.03501
3554.53246,3461.28773,0.0001,0.0001,0.0001,0.09364,0.36962,0.50191,0.03453
3534.58045,3441.67365,0.0001,0.0001,0.0001,0.08095,0.43502,0.45621,0.02752
3511.22479,3423.97335,0.0001,0.0001,0.0001,0.07173,0.48735,0.41893,0.02168
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3307.65356,3280.65312,0.03532,0.0001,0.0001,0.02731,0.83886,0.09045,0.00785
3299.86053,3297.87308,0.0001,0.0001,0.0001,0.0001,0.97922,0.02028,0.0001
3292.50487,3277.24115,0.02115,0.0001,0.0001,0.01787,0.91401,0.0323,0.01447
3679.69256,3672.0591,0.0001,0.0001,0.0001,0.02117,0.0001,0.97833,0.0001
3680.57298,3673.3311,0.0001,0.0001,0.0001,0.01991,0.0001,0.97959,0.0001
3461.3468,3393.98543,0.0001,0.0001,0.0001,0.05217,0.59267,0.34195,0.01291
3341.62117,3260.50801,0.06082,0.0001,0.0001,0.12611,0.53919,0.25817,0.01551
3555.28096,3462.12696,0.0001,0.0001,0.0001,0.09447,0.36625,0.50402,0.03496
3300.39416,3298.28384,0.0001,0.0001,0.0001,0.0001,0.97829,0.02078,0.00053
3550.45891,3490.52983,0.0001,0.0001,0.0001,0.14463,0.1622,0.63174,0.06112
3330.01811,3258.72916,0.05645,0.0001,0.0001,0.11697,0.56854,0.24777,0.01007
3681.20454,3674.24426,0.0001,0.0001,0.0001,0.019,0.0001,0.9805,0.0001
3475.7906,3402.20606,0.0001,0.0001,0.0001,0.05628,0.56743,0.36068,0.01531
3556.5626,3463.62562,0.0001,0.0001,0.0001,0.09596,0.36017,0.50783,0.03574
3681.47122,3674.63004,0.0001,0.0001,0.0001,0.01861,0.0001,0.98089,0.0001
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3684.19412,3678.57497,0.0001,0.0001,0.0001,0.0147,0.0001,0.9848,0.0001
3552.74084,3459.2551,0.0001,0.0001,0.0001,0.09202,0.37707,0.49695,0.03366
3555.65539,3462.55631,0.0001,0.0001,0.0001,0.0949,0.36451,0.50511,0.03518
3654.32134,3635.89785,0.0001,0.0001,0.0001,0.05743,0.0001,0.94207,0.0001
3300.32004,3298.23051,0.0001,0.0001,0.0001,0.0001,0.9784,0.02077,0.00043
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3340.68907,3333.08364,0.0001,0.0001,0.0001,0.00067,0.89076,0.10817,0.0001
3370.01539,3347.93608,0.0001,0.0001,0.0001,0.02375,0.76411,0.21174,0.0001
3681.44532,3674.59257,0.0001,0.0001,0.0001,0.01865,0.0001,0.98085,0.0001
3319.63078,3257.34141,0.05305,0.0001,0.0001,0.10988,0.5913,0.23971,0.00585
3548.55671,3489.99781,0.0001,0.0001,0.0001,0.14636,0.15519,0.63613,0.06202
3555.58179,3462.47139,0.0001,0.0001,0.0001,0.09481,0.36486,0.50489,0.03514
3681.20782,3674.24901,0.0001,0.0001,0.0001,0.01899,0.0001,0.98051,0.0001
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3553.04287,3491.01719,0.0001,0.0001,0.0001,0.14211,0.17248,0.62531,0.0598
3549.51502,3490.28287,0.0001,0.0001,0.0001,0.1455,0.15867,0.63396,0.06157
3555.58192,3462.47154,0.0001,0.0001,0.0001,0.09481,0.36486,0.50489,0.03514
3554.90936,3461.70724,0.0001,0.0001,0.0001,0.09405,0.36794,0.50296,0.03474
3672.9325,3662.33091,0.0001,0.0001,0.0001,0.03087,0.0001,0.96863,0.0001
3390.8965,3275.54911,0.08871,0.0001,0.0001,0.16045,0.40988,0.2714,0.06936
3306.3059,3276.82079,0.03524,0.0001,0.0001,0.03658,0.81179,0.11218,0.00401
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3463.87206,3395.39106,0.0001,0.0001,0.0001,0.05288,0.58833,0.34517,0.01332
3293.71267,3277.78715,0.02206,0.0001,0.0001,0.01803,0.91033,0.03499,0.01439
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3299.78004,3297.80514,0.0001,0.0001,0.0001,0.0001,0.97938,0.02012,0.0001
3682.92042,3676.72826,0.0001,0.0001,0.0001,0.01653,0.0001,0.98297,0.0001
3650.32371,3630.28654,0.0001,0.0001,0.0001,0.06311,0.0001,0.93639,0.0001
3299.85883,3297.87165,0.0001,0.0001,0.0001,0.0001,0.97922,0.02028,0.0001
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3300.21305,3298.15362,0.0001,0.0001,0.0001,0.0001,0.97857,0.02075,0.00028
3552.04563,3458.45697,0.0001,0.0001,0.0001,0.0915,0.37977,0.49505,0.03337
3306.58081,3262.65149,0.04228,0.0001,0.0001,0.08735,0.65777,0.2123,0.0001
3565.41781,3520.27917,0.0001,0.0001,0.0001,0.13796,0.00339,0.82818,0.03017
3405.11057,3260.86596,0.09888,0.00264,0.01496,0.13952,0.35545,0.26687,0.12167
3555.53857,3462.42165,0.0001,0.0001,0.0001,0.09476,0.36506,0.50477,0.03511
3555.56891,3462.45656,0.0001,0.0001,0.0001,0.0948,0.36492,0.50486,0.03513
3299.88129,3297.89061,0.0001,0.0001,0.0001,0.0001,0.97918,0.02032,0.0001
3619.31204,3587.6029,0.0001,0.0001,0.0001,0.10328,0.0001,0.89365,0.00267
3309.73047,3269.68373,0.03698,0.0001,0.0001,0.07468,0.6922,0.19584,0.0001
3303.2692,3271.92289,0.03529,0.0001,0.0001,0.0512,0.76725,0.14596,0.0001
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3681.41417,3674.5475,0.0001,0.0001,0.0001,0.0187,0.0001,0.9808,0.0001
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3554.88718,3461.68239,0.0001,0.0001,0.0001,0.09403,0.36804,0.5029,0.03473
3305.98039,3261.32183,0.04335,0.0001,0.0001,0.08984,0.65097,0.21554,0.0001
3555.44866,3462.31844,0.0001,0.0001,0.0001,0.09466,0.36547,0.50451,0.03506
3545.08102,3451.13521,0.0001,0.0001,0.0001,0.08684,0.40417,0.4779,0.03079
3554.57297,3461.33252,0.0001,0.0001,0.0001,0.09368,0.36944,0.50202,0.03455
3308.90842,3272.01318,0.0352,0.0001,0.0001,0.06558,0.71974,0.17918,0.0001
3544.64122,3450.70656,0.0001,0.0001,0.0001,0.08657,0.40558,0.47691,0.03064
3366.14261,3345.73708,0.0001,0.0001,0.0001,0.02086,0.78037,0.19837,0.0001
3387.85984,3273.26696,0.08806,0.0001,0.0001,0.16146,0.41252,0.2714,0.06637
3553.99147,3460.69584,0.0001,0.0001,0.0001,0.09306,0.37199,0.50042,0.03422
3418.89085,3295.31563,0.09676,0.0001,0.0001,0.14802,0.37747,0.27143,0.10611
3296.10792,3285.45091,0.01329,0.0001,0.0001,0.01101,0.93679,0.02819,0.01052
3299.8749,3297.88521,0.0001,0.0001,0.0001,0.0001,0.97919,0.02031,0.0001
3384.25473,3220.17687,0.09859,0.00834,0.02748,0.13455,0.34265,0.26193,0.12646
3305.68954,3282.05632,0.03577,0.0001,0.0001,0.01995,0.86224,0.06962,0.01223
3340.12281,3260.26549,0.06021,0.0001,0.0001,0.12484,0.54327,0.25672,0.01475
3681.39243,3674.51605,0.0001,0.0001,0.0001,0.01873,0.0001,0.98077,0.0001
