V,Nb,Ti,Mo,Ta,Hf,Cr,Zr,W,Re,Liquidus temperature,Solidus temperature
0.17589,0.09359,0.10484,0.02638,0.07241,0.05962,0.18324,0.25646,0.02657,0.001,1956.9974,1618.69988
0.13223,0.1075,0.1553,0.01904,0.02992,0.10751,0.22266,0.22384,0.001,0.001,1758.10209,1627.56209
0.14308,0.09583,0.13768,0.02098,0.05095,0.09957,0.21002,0.2313,0.00959,0.001,1827.5243,1628.73881
0.151,0.08784,0.1077,0.03475,0.1006,0.06903,0.16652,0.21972,0.04193,0.0209,2126.77303,1645.89131
0.17474,0.09326,0.10291,0.02955,0.07903,0.0561,0.17794,0.25507,0.03039,0.001,1994.01077,1619.13736
0.15271,0.08894,0.11824,0.024,0.08737,0.08611,0.18741,0.21846,0.03316,0.00361,2012.39584,1635.95359
0.1852,0.09403,0.10176,0.02279,0.06271,0.05998,0.18659,0.26195,0.02398,0.001,1914.77194,1614.81454
0.19031,0.09388,0.1003,0.01997,0.05809,0.06175,0.18897,0.26206,0.02367,0.001,1894.72914,1613.02337
0.20797,0.08939,0.07407,0.03292,0.08057,0.04174,0.15635,0.26418,0.04204,0.01077,2053.7828,1611.87504
0.14356,0.09898,0.20066,0.001,0.01923,0.12586,0.21335,0.19507,0.00128,0.001,1674.04153,1619.68022
0.20614,0.08495,0.06204,0.0451,0.10368,0.01919,0.12503,0.25906,0.05785,0.03698,2214.46413,1622.60994
0.15956,0.09039,0.11112,0.02647,0.08842,0.06763,0.18128,0.23247,0.03463,0.00804,2035.52048,1630.73075
0.16155,0.09021,0.10584,0.03064,0.09231,0.05996,0.17322,0.23609,0.03734,0.01285,2071.0656,1631.52339
0.17933,0.09468,0.11193,0.02364,0.04925,0.06836,0.19528,0.2603,0.01623,0.001,1854.82254,1615.66566
0.13369,0.10123,0.14534,0.02345,0.04273,0.11392,0.21426,0.22081,0.00357,0.001,1803.33642,1633.03088
0.16409,0.08994,0.09874,0.03628,0.09767,0.04965,0.16229,0.24078,0.04106,0.01949,2117.3984,1632.71199
0.26057,0.05985,0.07645,0.02179,0.12089,0.001,0.07728,0.24984,0.09441,0.03792,2311.41752,1609.92018
0.14754,0.08949,0.12153,0.03187,0.07708,0.11861,0.17874,0.19854,0.03449,0.0021,2012.00625,1648.30419
0.13518,0.09879,0.15163,0.02586,0.03996,0.13871,0.19786,0.19956,0.01145,0.001,1844.84223,1639.37779
0.1907,0.09273,0.09166,0.03035,0.07566,0.04997,0.17164,0.26366,0.03263,0.001,1994.36827,1613.49686
0.20173,0.09078,0.08108,0.03164,0.07824,0.04538,0.16291,0.26465,0.03819,0.0054,2026.63073,1611.66667
0.1404,0.07109,0.34061,0.001,0.001,0.13631,0.15739,0.1502,0.001,0.001,1715.47148,1616.11409
0.17832,0.09678,0.1149,0.02388,0.03999,0.06838,0.19869,0.26719,0.01087,0.001,1812.23044,1613.50142
